integer,nameOfApplicant,typeOfConstruction,sizeOfConstruction,constructionLocationAddress,termOfTheContract,contractNumber,durationOfTheContract,dateOfTheResolution,contactPointHasEmail,contactPointHasTelephone
142,"Товариство з обмеженою відповідальністю ""Мрія груп""",Щит на фасаді,3.70 х 0.50 х 1,Свободи вул. - Сумська вул. 60,2024-05-22,null,null,2019-05-22,null,null
143,"Приватне акціонерне товариство ""Страхова компанія ""Уніка""",Дахова конструкція,12.10 х 2.20 х 1,Сумська вул. 10,2024-10-30,null,null,2019-10-30,null,null
144,"Товариство з обмеженою відповідальністю ""Платформа 2019""",Щит стаціонарний,1.30 х 5.00 х 2,Московський просп. 272-Д,2022-06-30,4967,2022-06-30,2020-07-22,null,null
145,"Товариство з обмеженою відповідальністю ""Інвол А""",Щит на фасаді,10.00 х 4.00 х 1,Свободи м-н - Сумська вул. 37,2022-02-03,null,null,2019-07-24,null,null
146,"Товариство з обмеженою відповідальністю ""РА Ньюборд""",Щит стаціонарний,3.10 х 2.20 х 1,Незалежності просп. 13 - Трінклера вул.,2024-06-30,13,2034-07-01,2020-08-19,null,null
147,"Товариство з обмеженою відповідальністю ""РА Ньюборд""",Щит стаціонарний,6.00 х 3.00 х 2,Плеханівська вул. - Морозова вул.,2024-06-30,15,2034-07-01,2020-08-19,null,null
148,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,3.10 х 2.20 х 1,Ювілейний просп. 49/8 - Гвардійців-Широнінців вул.,2023-08-31,11,2033-09-01,2018-11-14,null,null
149,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,3.10 х 2.20 х 1,Ювілейний просп. 48-Б - Гвардійців-Широнінців вул.,2023-08-31,11,2033-09-01,2018-11-14,null,null
150,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,3.10 х 2.20 х 1,Ювілейний просп. 67,2023-08-31,11,2033-09-01,2018-11-14,null,null
151,"Рекламне агентство ""Стар"" у формі товариства з обмеженою відповідальністю",Щит стаціонарний,6.00 x 3.00 x 2,Гольдбергівська вул. 110,2022-06-30,4175,2021-06-30,2019-05-15,null,null
152,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на існуючій споруді,3.00 х 0.70 х 1,Роганська вул. 160-А (2),2025-08-19,null,null,2020-08-19,null,null
153,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на існуючій споруді,5.00 х 0.70 х 1,Віринська вул. 1-А (4),2025-08-19,null,null,2020-08-19,null,null
154,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит стаціонарний,1.25 х 2.50 х 2,Ювілейний просп. (навпроти буд. № 34),2022-06-30,5017,2022-06-30,2020-09-09,null,null
155,"Товариство з обмеженою відповідальністю ""Подорожник Харків""",Щит на фасаді,5.450 х 1.115 х 1,Ювілейний просп. 32-В,2026-09-08,null,null,2021-09-08,null,null
156,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,6.25 х 1.30 х 1,Московський просп. 272-Д,2025-09-09,null,null,2020-09-09,null,null
157,"Товариство з обмеженою відповідальністю ""РА Ньюборд""",Щит стаціонарний,6.00 х 3.00 х 2,Двадцять Третього Серпня вул. 33-А,2024-06-30,14,2034-07-01,2020-08-19,null,null
158,"Підприємство з іноземними інвестиціями ""МакДональдз Юкрейн Лтд""",Щит стаціонарний,4.514 x 3.635 x 2,Науки просп. 9-Б,2024-08-01,null,null,2019-12-24,null,null
159,"Товариство з обмеженою відповідальністю ""Автомобільний дом ""Соллі-плюс""",Щит на фасаді,5.00 х 1.16 х 1,Академіка Павлова вул. 325-Г,2025-09-23,null,null,2020-09-23,null,null
160,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 x 3.00 x 1,Героїв Праці вул. 7 (2),2023-08-31,11,2033-09-01,2018-11-14,null,null
161,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 x 3.00 x 2,Героїв Праці вул. (навпроти буд. № 2-Г),2023-08-31,11,2033-09-01,2018-11-14,null,null
162,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,6.25 х 1.30 х 1,Московський просп. 272-Д,2025-09-09,null,null,2020-09-09,null,null
163,"Товариство з обмеженою відповідальністю ""Таврія-В""",Щит на фасаді,7.92 х 2.78 х 1,Гагаріна просп. 30,2026-01-20,null,null,2021-01-20,null,null
164,"Товариство з обмеженою відповідальністю ""РА Ньюборд""",Щит стаціонарний,6.00 х 3.00 х 2,Плеханівська вул. (навпроти буд. № 128),2024-06-30,15,2034-07-01,2020-08-19,null,null
165,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,6.00 х 3.00 х 1,Московський просп. 272-Д,2025-09-09,null,null,2020-09-09,null,null
166,"Товариство з обмеженою відповідальністю ""Мєгастар""",Щит на фасаді,6.00 х 3.00 х 1,Героїв Сталінграда просп. - Гагаріна просп. 181,2024-10-30,null,null,2019-10-30,null,null
167,Фізична особа-підприємець Гільова Поліна Геннадіївна,Щит на фасаді,8.50 х 0.47 х 1,Чернишевська вул. 88,2025-01-29,null,null,2020-01-29,null,null
168,Фізична особа-підприємець Кіріченко Вікторія Вікторівна,Щит на фасаді,8.40 x 0.50 x 1,Сумська вул. 82,2020-12-31,3752,2020-12-31,2018-10-24,null,null
169,"Товариство з обмеженою відповідальністю ""Брокард-Україна""",Щит на фасаді,4.97 х 0.25 х 1,Павлівський м-н 2,2025-02-25,null,null,2020-02-25,null,null
170,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на існуючій споруді,5.00 х 0.70 х 1,Віринська вул. 1-А (5),2025-08-19,null,null,2020-08-19,null,null
171,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,1.80 х 2.00 х 1,Амурський пров. 1 ( № 2),2025-01-29,null,null,2020-01-29,null,null
172,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на існуючій споруді,0.69 х 1.66 х 1,Віринська вул. 1-А (6),2025-08-19,null,null,2020-08-19,null,null
173,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,6.00 х 3.00 х 1,Московський просп. 272-Д,2025-09-09,null,null,2020-09-09,null,null
174,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 x 3.00 x 2,Героїв Праці вул. 9-Б,2023-08-31,11,2033-09-01,2018-11-14,null,null
